active_proc,uptime,cpu_percent,cpu_ctx_switches,cpu_interrupts,cpu_soft_interrupts,cpu_syscalls,cpu_count_logical,cpu_count_physical,mem_available,mem_used,mem_percent,disk_total,disk_used,disk_free,disk_percent,swap_mem_used,swap_mem_free,swap_mem_percent,failure_warning
550,112761.33,8.5,246614,794211,231320604,1236901,8,4,6076477440,9004224512,64.6,500068036608,15324188672,9520918528,61.7,4324851712,1043857408,80.6,0
550,112763.34,4.7,246657,743649,231320963,1253348,8,4,6144020480,8936509440,64.2,500068036608,15324188672,9520918528,61.7,4324851712,1043857408,80.6,0
553,112765.36,15.0,233590,730003,231367914,1265074,8,4,6138527744,8942055424,64.3,500068036608,15324188672,9520877568,61.7,4324851712,1043857408,80.6,0
554,112767.37,10.5,239743,719812,231371514,1269807,8,4,6183116800,8895471616,64.0,500068036608,15324188672,9520644096,61.7,4324851712,1043857408,80.6,0
555,112769.39,30.0,138262,752368,231408113,1335661,8,4,6037188608,9042726912,64.9,500068036608,15324188672,9520627712,61.7,4324851712,1043857408,80.6,0
555,112771.40,17.0,134621,755232,231414059,1335727,8,4,6022545408,9056575488,64.9,500068036608,15324188672,9520623616,61.7,4324851712,1043857408,80.6,0
557,112773.42,56.6,37226,811175,231622198,1399375,8,4,5884317696,9194635264,65.7,500068036608,15324188672,9515220992,61.7,4324851712,1043857408,80.6,0
557,112775.45,94.1,35419,811145,231626656,1401109,8,4,5884018688,9193222144,65.8,500068036608,15324188672,9500061696,61.7,4324851712,1043857408,80.6,1
556,112777.48,96.5,48364,794321,231631083,1403982,8,4,5948809216,9127825408,65.4,500068036608,15324188672,9485545472,61.8,4324851712,1043857408,80.6,1
557,112779.50,98.8,53357,794284,231633616,1400658,8,4,5955645440,9121071104,65.3,500068036608,15324188672,9474908160,61.8,4324851712,1043857408,80.6,1
557,112781.53,99.0,89872,794226,231639275,1384021,8,4,6037065728,9039200256,64.9,500068036608,15324188672,9463087104,61.8,4324851712,1043857408,80.6,1
557,112783.56,95.3,75261,794057,231680903,1388727,8,4,5996494848,9079734272,65.1,500068036608,15324188672,9453797376,61.8,4324851712,1043857408,80.6,1
567,112785.59,99.4,107671,792693,231686944,1373121,8,4,6065324032,9010962432,64.7,500068036608,15324188672,9444118528,61.9,4324851712,1043857408,80.6,1
567,112787.61,98.3,65419,793732,231740814,1394520,8,4,5979910144,9095860224,65.2,500068036608,15324188672,9432793088,61.9,4324851712,1043857408,80.6,1
567,112789.64,99.0,70361,772239,231777633,1396523,8,4,6008356864,9068568576,65.0,500068036608,15324188672,9422860288,61.9,4324851712,1043857408,80.6,1
567,112791.68,99.2,90018,766168,231792222,1393607,8,4,6076928000,8999223296,64.6,500068036608,15324188672,9412603904,61.9,4324851712,1043857408,80.6,1
